# {'N': 2, 'y': [8, 9], 'f': [0, 1], 'M': 2, 'mu_': [7, 7], 'f_': [2, 3], 'n': 302, 'mu': [6, 6], 'y_': [10, 11], 'x': [4, 5]}
87,0.000,1.000,0.000,1.000,0.000,1.000,5.309,5.309,7.161,29.959,0.622,1.000
6,0.897,0.146,0.991,0.005,0.897,0.146,1.000,1.014,-10.770,-27.335,0.354,0.011
151,0.900,0.144,0.993,0.003,0.900,0.144,1.000,1.010,-9.893,-27.048,0.367,0.016
246,0.899,0.145,0.993,0.003,0.899,0.145,1.000,1.010,-10.540,-27.404,0.357,0.009
156,0.894,0.151,0.987,0.010,0.894,0.151,0.800,0.819,-10.985,-26.834,0.351,0.019
228,0.902,0.143,0.996,0.001,0.902,0.143,0.667,0.670,-10.491,-27.786,0.358,0.003
301,0.896,0.148,0.989,0.008,0.896,0.148,0.667,0.680,-10.358,-26.772,0.360,0.020
94,0.896,0.148,0.990,0.007,0.896,0.148,0.500,0.509,-10.261,-26.679,0.362,0.022
154,0.904,0.142,0.998,0.000,0.904,0.142,0.500,0.501,-9.624,-27.479,0.371,0.008
226,0.901,0.143,0.995,0.002,0.901,0.143,0.500,0.504,-9.751,-27.110,0.369,0.014
263,0.904,0.142,0.998,0.000,0.904,0.142,0.500,0.501,-9.794,-27.668,0.369,0.005
25,0.890,0.158,0.983,0.019,0.890,0.158,0.444,0.461,-11.448,-26.084,0.344,0.032
293,0.891,0.157,0.984,0.017,0.891,0.157,0.429,0.443,-11.101,-25.998,0.349,0.034
256,0.888,0.162,0.981,0.024,0.888,0.162,0.400,0.418,-11.724,-25.639,0.340,0.040
68,0.886,0.169,0.978,0.032,0.886,0.169,0.375,0.396,-12.133,-24.870,0.334,0.053
5,0.886,0.168,0.979,0.030,0.886,0.168,0.333,0.351,-12.148,-25.031,0.333,0.050
52,0.887,0.165,0.980,0.027,0.887,0.165,0.333,0.350,-11.821,-25.253,0.338,0.047
89,0.889,0.161,0.982,0.022,0.889,0.161,0.333,0.347,-11.431,-25.605,0.344,0.040
171,0.882,0.180,0.974,0.044,0.882,0.180,0.333,0.358,-12.890,-23.879,0.322,0.070
284,0.893,0.153,0.986,0.013,0.893,0.153,0.333,0.343,-11.075,-26.598,0.349,0.023
189,0.879,0.191,0.970,0.057,0.879,0.191,0.308,0.337,-13.645,-23.062,0.311,0.084
16,0.885,0.173,0.977,0.036,0.885,0.173,0.250,0.266,-12.461,-24.541,0.329,0.059
53,0.883,0.176,0.976,0.040,0.883,0.176,0.250,0.267,-12.689,-24.269,0.325,0.064
92,0.878,0.195,0.969,0.061,0.878,0.195,0.250,0.275,-13.866,-22.785,0.308,0.089
142,0.876,0.201,0.967,0.069,0.876,0.201,0.250,0.278,-14.186,-22.385,0.303,0.096
24,0.871,0.224,0.961,0.096,0.871,0.224,0.222,0.257,-15.332,-20.946,0.286,0.121
135,0.880,0.188,0.972,0.053,0.880,0.188,0.222,0.242,-13.466,-23.290,0.314,0.080
209,0.868,0.236,0.958,0.110,0.868,0.236,0.214,0.253,-15.791,-20.222,0.279,0.133
70,0.872,0.218,0.963,0.088,0.872,0.218,0.211,0.241,-15.047,-21.301,0.290,0.115
47,0.863,0.262,0.952,0.140,0.863,0.262,0.200,0.246,-16.888,-18.942,0.263,0.156
232,0.881,0.184,0.973,0.049,0.881,0.184,0.200,0.216,-13.212,-23.574,0.318,0.076
29,0.864,0.254,0.954,0.131,0.864,0.254,0.190,0.231,-16.452,-19.267,0.269,0.150
131,0.865,0.250,0.955,0.126,0.865,0.250,0.188,0.226,-16.427,-19.612,0.270,0.144
167,0.390,0.931,0.430,0.919,0.390,0.931,0.188,0.385,30.641,-6.422,0.972,0.372
274,0.386,0.932,0.426,0.920,0.386,0.932,0.188,0.380,30.233,-5.321,0.966,0.391
95,0.383,0.932,0.423,0.921,0.383,0.932,0.187,0.375,29.891,-4.450,0.961,0.406
101,0.383,0.932,0.423,0.921,0.383,0.932,0.187,0.375,29.635,-4.597,0.957,0.403
192,0.380,0.933,0.419,0.922,0.380,0.933,0.186,0.370,29.203,-3.801,0.951,0.417
295,0.380,0.933,0.419,0.922,0.380,0.933,0.186,0.370,29.436,-3.666,0.954,0.419
220,0.377,0.934,0.416,0.923,0.377,0.934,0.185,0.365,28.811,-2.882,0.945,0.433
242,0.375,0.935,0.414,0.924,0.375,0.935,0.184,0.360,28.498,-2.322,0.940,0.443
257,0.375,0.935,0.414,0.924,0.375,0.935,0.184,0.360,28.498,-2.322,0.940,0.443
124,0.371,0.936,0.410,0.925,0.371,0.936,0.183,0.355,27.849,-1.270,0.931,0.461
4,0.369,0.937,0.407,0.926,0.369,0.937,0.182,0.350,27.690,-0.581,0.928,0.473
271,0.369,0.937,0.407,0.926,0.369,0.937,0.182,0.350,27.378,-0.766,0.924,0.469
72,0.368,0.937,0.406,0.927,0.368,0.937,0.180,0.345,27.392,-0.418,0.924,0.475
221,0.365,0.939,0.403,0.928,0.365,0.939,0.179,0.340,26.878,0.459,0.916,0.491
148,0.362,0.940,0.400,0.929,0.362,0.940,0.177,0.336,26.385,1.190,0.909,0.503
84,0.362,0.940,0.399,0.930,0.362,0.940,0.175,0.330,26.470,1.240,0.910,0.504
248,0.359,0.941,0.396,0.931,0.359,0.941,0.174,0.326,25.896,1.998,0.902,0.517
45,0.358,0.942,0.395,0.932,0.358,0.942,0.172,0.321,25.809,2.356,0.900,0.523
15,0.355,0.943,0.392,0.933,0.355,0.943,0.171,0.316,25.274,3.102,0.892,0.536
115,0.856,0.297,0.945,0.181,0.856,0.297,0.171,0.223,-18.150,-17.317,0.244,0.184
276,0.356,0.943,0.392,0.933,0.356,0.943,0.171,0.316,25.553,2.904,0.896,0.533
117,0.354,0.943,0.390,0.934,0.354,0.943,0.169,0.311,25.147,3.357,0.890,0.541
133,0.351,0.945,0.388,0.935,0.351,0.945,0.168,0.306,24.642,4.194,0.883,0.555
152,0.352,0.944,0.388,0.935,0.352,0.944,0.168,0.306,24.843,3.858,0.886,0.549
3,0.874,0.212,0.965,0.081,0.874,0.212,0.167,0.189,-14.748,-21.679,0.295,0.108
48,0.875,0.206,0.966,0.075,0.875,0.206,0.167,0.187,-14.474,-22.024,0.299,0.102
79,0.868,0.235,0.959,0.108,0.868,0.235,0.167,0.196,-15.887,-20.392,0.278,0.130
164,0.851,0.328,0.939,0.217,0.851,0.328,0.167,0.231,-19.146,-15.911,0.229,0.208
222,0.349,0.946,0.386,0.936,0.349,0.946,0.166,0.301,24.344,4.788,0.878,0.565
169,0.348,0.946,0.384,0.937,0.348,0.946,0.164,0.297,24.082,4.919,0.875,0.568
288,0.346,0.947,0.382,0.938,0.346,0.947,0.162,0.292,23.674,5.452,0.868,0.577
207,0.852,0.319,0.941,0.206,0.852,0.319,0.160,0.218,-18.849,-16.320,0.233,0.201
63,0.343,0.949,0.379,0.940,0.343,0.949,0.158,0.282,23.235,6.279,0.862,0.591
299,0.853,0.314,0.942,0.200,0.853,0.314,0.158,0.213,-18.776,-16.598,0.234,0.196
14,0.342,0.949,0.377,0.941,0.342,0.949,0.156,0.277,23.285,6.599,0.863,0.597
155,0.341,0.950,0.377,0.941,0.341,0.950,0.156,0.277,22.808,6.801,0.855,0.600
28,0.340,0.950,0.375,0.942,0.340,0.950,0.155,0.273,22.819,7.140,0.856,0.606
197,0.859,0.284,0.948,0.166,0.859,0.284,0.154,0.197,-17.689,-17.902,0.251,0.173
107,0.338,0.951,0.373,0.943,0.338,0.951,0.153,0.268,22.537,7.647,0.851,0.615
279,0.844,0.368,0.932,0.264,0.844,0.368,0.149,0.223,-20.349,-14.206,0.211,0.237
290,0.335,0.953,0.370,0.945,0.335,0.953,0.149,0.259,22.062,8.561,0.844,0.630
66,0.846,0.357,0.934,0.251,0.846,0.357,0.147,0.215,-20.078,-14.740,0.215,0.228
23,0.334,0.954,0.369,0.946,0.334,0.954,0.146,0.254,21.753,8.847,0.840,0.635
265,0.335,0.953,0.369,0.946,0.335,0.953,0.146,0.254,21.870,8.439,0.841,0.628
296,0.332,0.955,0.367,0.947,0.332,0.955,0.144,0.249,21.380,9.314,0.834,0.643
17,0.845,0.364,0.933,0.258,0.845,0.364,0.143,0.212,-20.406,-14.540,0.210,0.232
80,0.842,0.387,0.929,0.285,0.842,0.387,0.143,0.222,-21.074,-13.609,0.200,0.248
136,0.857,0.290,0.947,0.173,0.857,0.290,0.143,0.185,-17.936,-17.625,0.247,0.178
227,0.331,0.956,0.365,0.948,0.331,0.956,0.142,0.244,21.216,9.702,0.832,0.650
103,0.833,0.442,0.920,0.349,0.833,0.442,0.141,0.246,-22.591,-11.431,0.177,0.285
178,0.832,0.453,0.918,0.363,0.832,0.453,0.141,0.254,-22.827,-10.963,0.174,0.293
59,0.329,0.956,0.363,0.949,0.329,0.956,0.140,0.240,20.935,10.087,0.828,0.657
118,0.835,0.430,0.922,0.335,0.835,0.430,0.140,0.239,-22.273,-11.887,0.182,0.277
54,0.820,0.535,0.905,0.458,0.820,0.535,0.137,0.306,-25.070,-8.012,0.140,0.344
143,0.819,0.541,0.904,0.465,0.819,0.541,0.137,0.313,-25.336,-7.843,0.136,0.347
13,0.859,0.281,0.949,0.162,0.859,0.281,0.136,0.173,-17.593,-18.074,0.252,0.171
145,0.771,0.876,0.851,0.855,0.771,0.876,0.136,33.974,-33.908,4.032,0.008,0.552
199,0.826,0.491,0.912,0.407,0.826,0.491,0.136,0.270,-24.006,-9.684,0.156,0.315
210,0.326,0.958,0.360,0.951,0.326,0.958,0.136,0.230,20.310,10.826,0.818,0.670
58,0.822,0.523,0.907,0.444,0.822,0.523,0.135,0.292,-24.823,-8.470,0.144,0.336
233,0.773,0.865,0.853,0.843,0.773,0.865,0.135,13.492,-33.541,3.850,0.014,0.549
176,0.325,0.959,0.358,0.952,0.325,0.959,0.134,0.226,20.131,11.219,0.816,0.676
243,0.777,0.835,0.858,0.808,0.777,0.835,0.134,2.682,-32.703,3.042,0.026,0.535
43,0.780,0.818,0.861,0.788,0.780,0.818,0.133,1.824,-32.534,2.296,0.029,0.522
116,0.838,0.412,0.925,0.315,0.838,0.412,0.133,0.219,-21.798,-12.602,0.189,0.265
196,0.860,0.275,0.950,0.155,0.860,0.275,0.133,0.168,-17.355,-18.357,0.256,0.166
204,0.784,0.793,0.865,0.758,0.784,0.793,0.133,1.244,-31.843,1.379,0.039,0.506
50,0.802,0.665,0.885,0.609,0.802,0.665,0.132,0.478,-28.516,-3.334,0.089,0.425
93,0.810,0.606,0.894,0.541,0.810,0.606,0.132,0.373,-27.033,-5.517,0.111,0.387
231,0.788,0.762,0.870,0.723,0.788,0.762,0.132,0.895,-30.842,0.343,0.054,0.489
291,0.323,0.960,0.356,0.953,0.323,0.960,0.132,0.221,19.855,11.780,0.811,0.686
30,0.789,0.756,0.871,0.716,0.789,0.756,0.131,0.844,-30.821,-0.001,0.055,0.483
7,0.774,0.855,0.855,0.831,0.774,0.855,0.130,5.435,-33.402,3.507,0.016,0.543
73,0.839,0.406,0.926,0.308,0.839,0.406,0.130,0.211,-21.511,-12.759,0.194,0.262
120,0.805,0.645,0.888,0.587,0.805,0.645,0.130,0.433,-27.875,-3.980,0.099,0.414
292,0.807,0.626,0.891,0.564,0.807,0.626,0.130,0.399,-27.465,-4.740,0.105,0.401
282,0.794,0.725,0.876,0.679,0.794,0.725,0.129,0.653,-30.024,-1.147,0.066,0.463
0,0.794,0.719,0.877,0.672,0.794,0.719,0.127,0.619,-29.800,-1.322,0.070,0.460
245,0.320,0.962,0.353,0.955,0.320,0.962,0.127,0.212,19.284,12.577,0.803,0.700
21,0.397,0.930,0.438,0.918,0.397,0.930,0.125,0.260,31.856,-7.652,0.991,0.350
27,0.786,0.776,0.868,0.739,0.786,0.776,0.125,0.969,-31.241,0.855,0.048,0.497
31,0.837,0.419,0.924,0.323,0.837,0.419,0.125,0.208,-21.942,-12.301,0.187,0.270
57,0.813,0.589,0.897,0.521,0.813,0.589,0.125,0.332,-26.440,-6.015,0.120,0.379
61,0.798,0.692,0.881,0.641,0.798,0.692,0.125,0.521,-29.112,-2.340,0.080,0.442
100,0.839,0.400,0.927,0.301,0.839,0.400,0.125,0.200,-21.489,-13.110,0.194,0.256
123,0.829,0.474,0.915,0.387,0.829,0.474,0.125,0.237,-23.546,-10.290,0.163,0.305
127,0.847,0.349,0.936,0.241,0.847,0.349,0.125,0.180,-19.892,-15.086,0.218,0.222
173,0.793,0.731,0.875,0.687,0.793,0.731,0.125,0.665,-30.125,-0.871,0.065,0.468
200,0.855,0.304,0.944,0.189,0.855,0.304,0.125,0.166,-18.478,-17.061,0.239,0.188
208,0.784,0.790,0.866,0.755,0.784,0.790,0.125,1.126,-31.596,1.385,0.043,0.507
224,0.842,0.382,0.930,0.280,0.842,0.382,0.125,0.192,-20.835,-13.723,0.204,0.246
230,0.869,0.231,0.960,0.104,0.869,0.231,0.125,0.146,-15.608,-20.569,0.282,0.127
238,0.797,0.699,0.880,0.649,0.797,0.699,0.125,0.541,-29.427,-2.142,0.075,0.446
255,0.317,0.963,0.350,0.957,0.317,0.963,0.123,0.202,18.744,13.245,0.795,0.711
239,0.813,0.583,0.898,0.514,0.813,0.583,0.122,0.319,-26.431,-6.325,0.120,0.373
179,0.822,0.519,0.908,0.440,0.822,0.519,0.121,0.259,-24.649,-8.580,0.147,0.334
261,0.823,0.513,0.909,0.432,0.823,0.513,0.120,0.252,-24.519,-8.847,0.149,0.330
269,0.816,0.563,0.901,0.490,0.816,0.563,0.120,0.292,-25.799,-7.001,0.130,0.362
158,0.829,0.468,0.916,0.380,0.829,0.468,0.118,0.219,-23.240,-10.402,0.168,0.303
260,0.803,0.660,0.886,0.604,0.803,0.660,0.118,0.417,-28.251,-3.441,0.093,0.423
278,0.315,0.965,0.347,0.959,0.315,0.965,0.118,0.193,18.561,14.023,0.792,0.725
225,0.314,0.965,0.346,0.960,0.314,0.965,0.116,0.188,18.304,14.160,0.788,0.727
177,0.781,0.814,0.862,0.784,0.781,0.814,0.115,1.479,-32.135,2.339,0.035,0.523
20,0.312,0.967,0.344,0.961,0.312,0.967,0.113,0.184,18.027,14.807,0.784,0.738
193,0.312,0.967,0.344,0.961,0.312,0.967,0.113,0.184,17.808,14.660,0.781,0.736
8,0.848,0.343,0.937,0.235,0.848,0.343,0.111,0.158,-19.671,-15.320,0.221,0.218
26,0.811,0.596,0.896,0.530,0.811,0.596,0.111,0.304,-26.706,-5.825,0.116,0.382
74,0.851,0.326,0.940,0.215,0.851,0.326,0.111,0.153,-19.214,-16.103,0.228,0.205
81,0.790,0.747,0.873,0.705,0.790,0.747,0.111,0.661,-30.535,-0.288,0.059,0.478
119,0.779,0.826,0.860,0.797,0.779,0.826,0.111,1.764,-32.541,2.698,0.029,0.529
159,0.827,0.482,0.914,0.396,0.827,0.482,0.111,0.215,-23.651,-9.929,0.162,0.311
163,0.840,0.394,0.928,0.294,0.840,0.394,0.111,0.175,-21.156,-13.231,0.199,0.254
166,0.817,0.556,0.902,0.483,0.817,0.556,0.111,0.265,-25.671,-7.276,0.131,0.357
184,0.866,0.244,0.957,0.119,0.866,0.244,0.111,0.133,-16.170,-19.869,0.273,0.139
217,0.311,0.967,0.343,0.962,0.311,0.967,0.111,0.179,17.769,14.952,0.780,0.741
266,0.804,0.653,0.887,0.596,0.804,0.653,0.111,0.382,-28.224,-3.808,0.093,0.417
